score;konfidens;cvr;navn;selskabsform;branche;branchetekst;region;kommune;postnr;by;dekretdato;offentliggjort;anmeldelsesfrist;skifteret;sagsnummer;kurator;kurator_firma;kurator_email;kurator_telefon;ejendomstype;antal_ejendomme;ejendomsvaerdi_bogfoert;offentlig_vurdering_sum;aktiver;egenkapital;realkreditgaeld;samlet_gaeld;ltv_pct;soliditet_pct;aarets_resultat;regnskabsaar_slut;statstidende_url;cvr_url;aarsrapport_url
100;høj;28850794;RØNBÆKVEJ 17 ApS;ApS;;;Midtjylland;;8963;Auning;2026-08-07;2026-08-11;2026-09-08;Retten i Randers;SKS 60-5266/2026;Christian Jul Madsen;;;;Blandet;2;8000000;3450000;8097359;539342;;6451760;;6.7;2084669;2024-09-30;https://www.statstidende.dk/messages/S07082026-177;https://datacvr.virk.dk/enhed/virksomhed/28850794;http://regnskaber.virk.dk/49705882/amNsb3VkczovLzAzL2ZhLzc3LzJmLzU2L2YzMDQtNGRiMi1hZWIyLWU4MGU2Y2VlOTY0OQ.xml
85;høj;21032794;F.K. EJENDOMME ApS;ApS;;;Nordjylland;;9500;Hobro;2026-07-02;2026-07-04;2026-08-01;Retten i Aalborg;SKS 31-332/2026;Per Buttenschøn;;;;Blandet;0;7500000;;10449151;1929391;3537192;7328247;47.2;18.5;372936;2025-06-30;https://www.statstidende.dk/messages/S02072026-244;https://datacvr.virk.dk/enhed/virksomhed/21032794;http://regnskaber.virk.dk/49723012/amNsb3VkczovLzAzLzc3L2FlL2QyL2FhLzQ1ODctNGNhMS1iYWI4LTQ1MGU4NTBkZWQwZA.xhtml
80;høj;34484872;SKL BOLIG ApS;ApS;;;Nordjylland;;9310;Vodskov;2026-06-23;2026-06-30;2026-07-28;Retten i Aalborg;SKS 31-305/2026;Lars Møgelvang Hansen;;;;Bolig;0;1765000;;2187879;266034;1069805;1846071;60.6;12.2;-245164;2023-12-31;https://www.statstidende.dk/messages/S26062026-100;https://datacvr.virk.dk/enhed/virksomhed/34484872;http://regnskaber.virk.dk/27848443/amNsb3VkczovLzAzL2ZiLzM3LzUyLzI2L2UwZjEtNGUwNi1hNzQ1LTNhNzRlZjZjY2FiYw.xml
80;høj;32439284;EJENDOMMEN METALVEJ 27-29 ApS;ApS;;;Sjælland;;4180;Sorø;2026-08-13;2026-08-15;2026-09-12;Retten i Næstved;SKS INS-350/2026;Rune Hyllested;;;;Blandet;0;3979138;;5527948;2662868;1909536;2420519;48.0;48.2;86311;2025-12-31;https://www.statstidende.dk/messages/S13082026-212;https://datacvr.virk.dk/enhed/virksomhed/32439284;http://regnskaber.virk.dk/48293423/amNsb3VkczovLzAzL2Q5LzQxLzBmLzE2LzE4Y2YtNDUwNS04ZmY5LTIyODE4MmVlYTY1Nw.xml
75;høj;32100279;STJERNE GRUPPEN HOLDING ApS;ApS;;;Syddanmark;;7100;Vejle;2026-07-09;2026-07-11;2026-08-08;Retten i Kolding;6-147/2026;Mads Danielsen;;;;Blandet;0;3978655;;4289354;465712;3113549;3736777;78.3;10.9;376897;2025-06-30;https://www.statstidende.dk/messages/S09072026-273;https://datacvr.virk.dk/enhed/virksomhed/32100279;http://regnskaber.virk.dk/97200123/amNsb3VkczovLzAzLzU0L2Q3LzQ0LzkzLzlkMzMtNDg5ZS1iYmZlLWQ5OGVkOTBjMGViYQ.xml
70;høj;33377088;S1021 A/S;A/S;;;Midtjylland;;8260;Viby J;2026-06-11;2026-06-13;2026-07-11;Retten i Aarhus;SKS 41-20316/2026;Henrik Selchau Poulsen;;;;Blandet;0;6679000;;7440289;3800596;1087766;3377135;16.3;51.1;87863;2024-09-30;https://www.statstidende.dk/messages/S11062026-52;https://datacvr.virk.dk/enhed/virksomhed/33377088;http://regnskaber.virk.dk/88077333/amNsb3VkczovLzAzL2NhL2U5L2YzLzZkLzc0YjEtNGVmMS04ZTdhLTMxZjI4ZTMwZWY2MQ.pdf
70;høj;40590641;Ejendomsselskabet Hyllinge ApS;ApS;;;Sjælland;;4243;Rude;2026-07-28;2026-07-30;2026-08-27;Retten i Næstved;SKS INS-351/2026;Henrik Selchau Poulsen;;;;Blandet;0;9428962;;11535208;381709;146718;11042363;1.6;3.3;-595923;2024-12-31;https://www.statstidende.dk/messages/S28072026-156;https://datacvr.virk.dk/enhed/virksomhed/40590641;http://regnskaber.virk.dk/14609504/amNsb3VkczovLzAzLzlkLzgyLzdhLzFhLzYwOWYtNGFmNi1iZWFjLWE1MzcxYjdkZDUxNQ.xml
65;middel;41553308;Jens Chr. Skousvej 14 K/S;K/S;;;Hovedstaden;;2500;Valby;2026-06-03;2026-06-06;2026-07-04;Sø- og Handelsrettens skifteret;K 1103/26-B;Henrik Selchau Poulsen;;;;Blandet;0;35773127;;36958044;84607;;36873437;;0.2;275873;2024-12-31;https://www.statstidende.dk/messages/S04062026-69;https://datacvr.virk.dk/enhed/virksomhed/41553308;http://regnskaber.virk.dk/80335514/amNsb3VkczovLzAzL2RhLzQxLzIxLzQ4L2U2OTgtNGEzZC1iNjFkLTYwNjJiZjBmZTk0MA.xml
65;middel;38252712;EJENDOMSELSKABET OMME A/S;A/S;;;Midtjylland;;7260;Sønder Omme;2026-06-09;2026-06-11;2026-07-09;Retten i Kolding;6-233/2026;Christian Jul Madsen;;;;Blandet;0;21163888;;32640746;14119162;6346095;16567284;30.0;43.3;1622897;2025-10-31;https://www.statstidende.dk/messages/S09062026-58;https://datacvr.virk.dk/enhed/virksomhed/38252712;http://regnskaber.virk.dk/21725283/amNsb3VkczovLzAzLzE4LzBiLzQ2L2FmL2RjYjctNDA0NC05Zjg5LTc4NWViNmYyZWQ3Mw.xhtml
65;middel;32277470;Selskabet af 12. juni 2026 ApS;ApS;;;Syddanmark;;6792;Rømø;2026-06-22;2026-06-24;2026-07-22;Retten i Sønderborg;SKS S01-184/2026;Mark Søtrup;;;;Egen domicil;0;1017234;;5605785;4701657;297993;810346;29.3;83.9;645898;2024-12-31;https://www.statstidende.dk/messages/S22062026-279;https://datacvr.virk.dk/enhed/virksomhed/32277470;http://regnskaber.virk.dk/07477223/amNsb3VkczovLzAzL2U0L2UzLzhjLzA4Lzg2NWMtNDMxZC05Y2FlLThhZDRlOTY4OWUxOA.pdf
65;middel;37540811;Investgruppen Nordic ApS;ApS;;;Hovedstaden;;2100;København Ø;2026-06-23;2026-06-25;2026-07-23;Sø- og Handelsrettens skifteret;K 1305/26-K;Søren Aamann Jensen;;;;Egen domicil;0;4917955;;5205008;-1978806;2690490;7183814;54.7;-38.0;-272898;2024-12-31;https://www.statstidende.dk/messages/S23062026-174;https://datacvr.virk.dk/enhed/virksomhed/37540811;http://regnskaber.virk.dk/11804573/amNsb3VkczovLzAzL2RlLzA0LzIwLzY2L2Y0YmItNGZlMC05ZDQ0LWY1NjMyMzYzMjY2ZA.xml
65;middel;35889981;AgroXperten ApS;ApS;;;Midtjylland;;7490;Aulum;2026-08-03;2026-08-05;2026-09-02;Retten i Herning;SKS 14-167/2026;Christopher Pilgaard Bering;;;;Egen domicil;0;14364866;;46683916;9411948;7006611;36896061;48.8;20.2;1540023;2024-12-31;https://www.statstidende.dk/messages/S03082026-153;https://datacvr.virk.dk/enhed/virksomhed/35889981;http://regnskaber.virk.dk/18998853/amNsb3VkczovLzAzL2I3LzY0L2NiLzdkLzNlYjItNDFjNC05ODAzLTA0MjA5NjdjZWE2Yg.pdf
65;middel;26270871;IVERSEN INTERIØR ApS;ApS;;;Midtjylland;;8600;Silkeborg;2026-08-11;2026-08-13;2026-09-10;Retten i Viborg;SKS 5-253/2026;Søren Hedegaard Frederiksen;;;;Egen domicil;0;2879957;;14972573;3884490;308154;11088083;10.7;25.9;-961821;2024-12-31;https://www.statstidende.dk/messages/S11082026-120;https://datacvr.virk.dk/enhed/virksomhed/26270871;http://regnskaber.virk.dk/17807262/amNsb3VkczovLzAzLzRiL2M5L2ZiL2I0L2YwYmQtNDcyMy1hMDM1LTZjNTE4NzMyNGY3Ng.pdf
60;middel;36492139;EMAJA ESTATE INVEST ApS;ApS;;;Nordjylland;;9970;Strandby;2026-07-01;2026-07-03;2026-07-31;Retten i Hjørring;SKS SKIF-209/2026;Palle Møller Jørgensen;;;;Blandet;0;6090025;;8848008;3739612;;5108396;;42.3;-460512;2024-12-31;https://www.statstidende.dk/messages/S01072026-36;https://datacvr.virk.dk/enhed/virksomhed/36492139;http://regnskaber.virk.dk/93129463/amNsb3VkczovLzAzL2I3Lzk0LzQ0LzRiL2ZhMTQtNGY2OC1iYzY4LWM2Nzk3YWEzZjdkNQ.pdf
60;middel;40523286;Sønderbrogade 13A-B ApS;ApS;;;Midtjylland;;8660;Skanderborg;2026-07-01;2026-07-03;2026-07-31;Retten i Horsens;SKS 41-171/2026;Janus Bang Topp;;;;Blandet;0;11450000;;11469139;333441;;11135698;;2.9;0;2025-06-30;https://www.statstidende.dk/messages/S01072026-86;https://datacvr.virk.dk/enhed/virksomhed/40523286;http://regnskaber.virk.dk/68232504/amNsb3VkczovLzAzLzE2LzMxLzAxL2VlLzE5NzUtNGU4NS04NTYxLWExYmJiZWEwYjdhYw.xml
55;middel;37902896;KRM Byg ApS;ApS;;;Syddanmark;;7100;Vejle;2026-06-11;2026-06-13;2026-07-11;Retten i Kolding;6-243/2026;Jan Bruun Jørgensen;;;;Grund/Projekt;0;226432;;929888;-69530;;999418;;-7.5;99633;2024-12-31;https://www.statstidende.dk/messages/S11062026-27;https://datacvr.virk.dk/enhed/virksomhed/37902896;http://regnskaber.virk.dk/69820973/amNsb3VkczovLzAzLzc0LzVlLzk5Lzc4LzI0MWMtNDQ0ZC04ZmY3LWU1Yzc1MzY1MWRkNA.pdf
55;middel;36893575;REA BYG ApS;ApS;;;Sjælland;;4571;Grevinge;2026-06-22;2026-06-30;2026-07-28;Retten i Holbæk;SKS 51-178/2026;Finn Machenhauer;;;;Grund/Projekt;0;7;;277;223;;54;;80.5;-159;2024-06-30;https://www.statstidende.dk/messages/S26062026-183;https://datacvr.virk.dk/enhed/virksomhed/36893575;http://regnskaber.virk.dk/57539863/amNsb3VkczovLzAzLzY5LzQ4LzkxL2ExLzZlZTctNGEwMS04ZDQwLWQ0YzBkMGU3ODdmYw.xhtml
55;middel;42854980;Ejendommen Toftegårds Alle ApS;ApS;;;Hovedstaden;;2610;Rødovre;2026-08-20;2026-08-22;2026-09-19;Sø- og Handelsrettens skifteret;K 1630/26-F;Boris K. Frederiksen;;;;Blandet;0;396400;;420308;51023;;369285;;12.1;-72306;2024-12-31;https://www.statstidende.dk/messages/S20082026-74;https://datacvr.virk.dk/enhed/virksomhed/42854980;http://regnskaber.virk.dk/08945824/amNsb3VkczovLzAzLzZkLzc2LzA2L2Q0LzQ2YjEtNDg5Mi1hNWUxLTQ1YTYwOGQ1NDNlZA.pdf
50;middel;41982659;Aspecta K/S;K/S;;;Hovedstaden;;2500;Valby;2026-06-15;2026-06-18;2026-07-16;Sø- og Handelsrettens skifteret;K 1148/26-B;Anders Hauge Gløde;;;;Egen domicil;0;1653775;;2352168;104007;;2248161;;4.4;2775;2025-06-30;https://www.statstidende.dk/messages/S16062026-198;https://datacvr.virk.dk/enhed/virksomhed/41982659;http://regnskaber.virk.dk/95628914/amNsb3VkczovLzAzL2RlLzg1LzI0LzQxL2JmNDItNDJkOS05ZDdlLTYwY2EwYzM0MGVmYQ.xml
45;middel;43839284;CBT Invest ApS;ApS;;;Midtjylland;;7480;Vildbjerg;2026-06-19;2026-06-23;2026-07-21;Retten i Herning;SKS 14-147/2026;Jacob Staghøj Troelsen;;;;Egen domicil;0;6461350;;19179008;-53164;;19232172;;-0.3;-56471;2024-12-31;https://www.statstidende.dk/messages/S19062026-139;https://datacvr.virk.dk/enhed/virksomhed/43839284;http://regnskaber.virk.dk/48293834/amNsb3VkczovLzAzL2RmL2U2LzM1LzQzL2I1ZTMtNGM1Yy04YjRjLTRjYmZkYjY5Y2ZlNQ.pdf
45;middel;42536857;DANA Ejendomsadministration ApS;ApS;;;Syddanmark;;6700;Esbjerg;2026-06-24;2026-06-26;2026-07-24;Retten i Esbjerg;SKS 15-143/2026;Stefan Nielsen;;;;Blandet;0;31500000;;35479013;9358516;;22115479;;26.4;1639005;2024-12-31;https://www.statstidende.dk/messages/S24062026-334;https://datacvr.virk.dk/enhed/virksomhed/42536857;http://regnskaber.virk.dk/75863524/amNsb3VkczovLzAzLzhkLzk2L2Y3L2M5LzAwMTMtNGNlMi1iY2E0LWYwZWVhMDhkNjBlYg.pdf
45;middel;40445935;House Work ApS;ApS;;;Sjælland;;4591;Føllenslev;2026-06-26;2026-06-30;2026-07-28;Retten i Holbæk;SKS 51-186/2026;Finn Machenhauer;;;;Blandet;0;1075000;;1621406;175;;1446680;;0.0;-581;2025-06-30;https://www.statstidende.dk/messages/S26062026-127;https://datacvr.virk.dk/enhed/virksomhed/40445935;http://regnskaber.virk.dk/53954404/amNsb3VkczovLzAzLzNkL2EyLzc1L2U0Lzc5ODEtNDRiYS1hNzk0LWMyODU5NWFmMTJlYw.xhtml
45;middel;44145227;Maylander ApS;ApS;;;Midtjylland;;8620;Kjellerup;2026-08-27;2026-08-29;2026-09-26;Retten i Viborg;SKS 5-270/2026;Claus Nielsen;;;;Blandet;0;1556452;;2493935;183100;;2303013;;7.3;429985;2024-12-31;https://www.statstidende.dk/messages/S27082026-225;https://datacvr.virk.dk/enhed/virksomhed/44145227;http://regnskaber.virk.dk/72254144/amNsb3VkczovLzAzLzBiLzcxLzliL2FjLzFjNGUtNGZjZS05NzY0LTI2NzBlYjQ0NTIxMw.pdf
40;middel;41298332;K-Kajen ApS;ApS;;;Hovedstaden;;2150;Nordhavn;;2026-07-08;2026-08-05;Sø- og Handelsrettens skifteret;K 3237/23-F;Per Hald;;;;Egen domicil;0;1819608;;7692740;576663;;7116077;;7.5;776799;2022-12-31;https://www.statstidende.dk/messages/S06072026-51;https://datacvr.virk.dk/enhed/virksomhed/41298332;http://regnskaber.virk.dk/23389214/amNsb3VkczovLzAzL2Y1L2I5L2VjLzAzLzBlZGMtNDNlNi04Y2FhLWIzZDY1N2NkMmU0NA.pdf
40;middel;37867462;Pedersker Fjernvarme ApS;ApS;;;Hovedstaden;;3720;Aakirkeby;2026-06-09;2026-06-11;2026-07-09;Retten på Bornholm;SKS 4-29/2026;Henrik Selchau Poulsen;;;;Egen domicil;0;8013640;;10569433;60456;;10508977;;0.6;1;2024-12-31;https://www.statstidende.dk/messages/S09062026-349;https://datacvr.virk.dk/enhed/virksomhed/37867462;http://regnskaber.virk.dk/26476873/amNsb3VkczovLzAzLzkwLzhjL2UwLzcxL2I0OWQtNDg1NC05ZDJiLWQ5NTliY2I2OTI2YQ.pdf
40;middel;43781626;Hotelier ApS;ApS;;;Syddanmark;;5000;Odense C;2026-06-29;2026-07-01;2026-07-29;Skifteretten i Odense;SKS S33-292/2026;Thomas Bilstrup Rask;;;;Erhverv;0;1472766;;3162920;871;;1767388;;0.0;313;2025-12-31;https://www.statstidende.dk/messages/S29062026-119;https://datacvr.virk.dk/enhed/virksomhed/43781626;http://regnskaber.virk.dk/62618734/amNsb3VkczovLzAzLzVhLzNiLzQwLzcyL2NjMjAtNGMyMC1hZDg4LWZlNTc0OWNlYTFkZQ.xhtml
40;middel;32569633;MUSIC Tribe Brands DK1 A/S;A/S;;;Hovedstaden;;2200;København N;2026-06-30;2026-07-02;2026-07-30;Sø- og Handelsrettens skifteret;K 1356/26-F;Preben Jakobsen;;;;Egen domicil;0;76925000;;119164000;80417000;;38747000;;67.5;13724000;2024-12-31;https://www.statstidende.dk/messages/S30062026-225;https://datacvr.virk.dk/enhed/virksomhed/32569633;http://regnskaber.virk.dk/33696523/amNsb3VkczovLzAzLzYwL2NiLzMwLzBjL2JiMDctNGIwZC1iYzdkLTQzOWFmNjEyOWIyMw.pdf
40;middel;43729225;;;;;Sjælland;;4450;Jyderup;2026-07-02;2026-07-04;2026-08-01;Sø- og Handelsrettens skifteret;K 1091/26-D;Anders Ibsen Melballe;;;;Egen domicil;0;4088151;;10706611;5303537;;5333141;;49.5;3227063;2024-12-31;https://www.statstidende.dk/messages/S02072026-137;https://datacvr.virk.dk/enhed/virksomhed/43729225;http://regnskaber.virk.dk/52292734/amNsb3VkczovLzAzLzU3LzAxLzBhLzU3LzI2NTktNGZmZS04OGZmLTZkNmYwOGEwNTc1ZQ.pdf
40;middel;41727586;;;;;Midtjylland;;8550;Ryomgård;2026-07-06;2026-07-09;2026-08-06;Retten i Randers;SKS 60-5223/2026;Boris K. Frederiksen;;;;Egen domicil;0;4220872;;7104298;3065074;;4039224;;43.1;-1105584;2024-12-31;https://www.statstidende.dk/messages/S07072026-270;https://datacvr.virk.dk/enhed/virksomhed/41727586;http://regnskaber.virk.dk/68572714/amNsb3VkczovLzAzL2U3Lzc3LzQxL2JiLzE2NDAtNDdmMC05NzQzLWNmZDdmMmY3ZmRlYQ.pdf
40;middel;10214343;HASLUND BYGGEFIRMA A/S;A/S;;;Midtjylland;;8940;Randers SV;2026-07-08;2026-07-10;2026-08-07;Retten i Randers;SKS 60-5236/2026;Jørgen Lindhardt Steffensen;;;;Egen domicil;0;1059963;;1401238;-1992900;;3394138;;-142.2;-58933;2024-12-31;https://www.statstidende.dk/messages/S08072026-321;https://datacvr.virk.dk/enhed/virksomhed/10214343;http://regnskaber.virk.dk/34341201/amNsb3VkczovLzAzLzRjL2RmLzA0L2JiLzA1NmYtNDYyYy1hMTBmLTExNDY3MjQwN2Y5Nw.pdf
40;middel;42347841;HaPeRo ApS;ApS;;;Nordjylland;;9830;Tårs;2026-07-09;2026-07-11;2026-08-08;Retten i Hjørring;SKS SKIF-223/2026;Jens Henrik Bech;;;;Egen domicil;0;2220096;;2721052;256769;;2427283;;9.4;107392;2024-12-31;https://www.statstidende.dk/messages/S09072026-231;https://datacvr.virk.dk/enhed/virksomhed/42347841;http://regnskaber.virk.dk/14874324/amNsb3VkczovLzAzL2UzLzkyLzBhL2U1LzVlNTEtNDdiZS1iN2Q1LTk1ZTE4Y2E4OWRmNg.pdf
40;middel;84895210;HANDELS- OG FINANSIERINGSSELSKABETAF 1.10.1989 A/S;A/S;;;Syddanmark;;6230;Rødekro;2026-07-10;2026-07-14;2026-08-11;Retten i Sønderborg;SKS S01-202/2026;Per Buttenschøn;;;;Egen domicil;0;522384;;6498268;6121728;;376540;;94.2;-4224361;2024-06-30;https://www.statstidende.dk/messages/S10072026-201;https://datacvr.virk.dk/enhed/virksomhed/84895210;http://regnskaber.virk.dk/01259848/amNsb3VkczovLzAzLzdjLzkzL2QxLzQ5LzgyODYtNDlmMC05MTY4LWM2MzQxYWQwYTc3ZQ.pdf
